,N,Features,Model,R² Score,MAE,RMSE
108,11,"Index(['Estimated Page Views', 'Rank - Domain', 'Estimated Sales - Domain',
       'Avg Total Users', 'Avg - Total Visits', 'Avg - real visits',
       'Followers', 'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic'],
      dtype='object')",K-Nearest Neighbors,0.3113893088932378,140128.33312527472,635895.8033905484
109,11,"Index(['Estimated Page Views', 'Rank - Domain', 'Estimated Sales - Domain',
       'Avg Total Users', 'Avg - Total Visits', 'Avg - real visits',
       'Followers', 'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic'],
      dtype='object')",Support Vector Regressor,-0.018607795299994567,138857.84323651053,773397.1654668873
110,12,"Index(['Estimated Page Views', 'Rank - Domain', 'Estimated Sales - Domain',
       'Number of technologies', 'Avg Total Users', 'Avg - Total Visits',
       'Avg - real visits', 'Followers', 'Organic Keywords', 'Organic Traffic',
       'Adwords Keywords', 'Adwords Traffic'],
      dtype='object')",Linear Regression,-0.1366848090921844,188121.66133081447,816994.4500315448
111,12,"Index(['Estimated Page Views', 'Rank - Domain', 'Estimated Sales - Domain',
       'Number of technologies', 'Avg Total Users', 'Avg - Total Visits',
       'Avg - real visits', 'Followers', 'Organic Keywords', 'Organic Traffic',
       'Adwords Keywords', 'Adwords Traffic'],
      dtype='object')",Ridge Regression,-0.13668476595836054,188121.65013839607,816994.434530284
112,12,"Index(['Estimated Page Views', 'Rank - Domain', 'Estimated Sales - Domain',
       'Number of technologies', 'Avg Total Users', 'Avg - Total Visits',
       'Avg - real visits', 'Followers', 'Organic Keywords', 'Organic Traffic',
       'Adwords Keywords', 'Adwords Traffic'],
      dtype='object')",Lasso Regression,-0.13692742716713102,188031.71463653623,817081.6364895594
113,12,"Index(['Estimated Page Views', 'Rank - Domain', 'Estimated Sales - Domain',
       'Number of technologies', 'Avg Total Users', 'Avg - Total Visits',
       'Avg - real visits', 'Followers', 'Organic Keywords', 'Organic Traffic',
       'Adwords Keywords', 'Adwords Traffic'],
      dtype='object')",ElasticNet Regression,-0.13688875548308266,188022.20493010886,817067.7401797194
114,12,"Index(['Estimated Page Views', 'Rank - Domain', 'Estimated Sales - Domain',
       'Number of technologies', 'Avg Total Users', 'Avg - Total Visits',
       'Avg - real visits', 'Followers', 'Organic Keywords', 'Organic Traffic',
       'Adwords Keywords', 'Adwords Traffic'],
      dtype='object')",Decision Tree,0.361704716664457,173356.51987692306,612223.3591494546
115,12,"Index(['Estimated Page Views', 'Rank - Domain', 'Estimated Sales - Domain',
       'Number of technologies', 'Avg Total Users', 'Avg - Total Visits',
       'Avg - real visits', 'Followers', 'Organic Keywords', 'Organic Traffic',
       'Adwords Keywords', 'Adwords Traffic'],
      dtype='object')",Random Forest,0.4891307551155748,141026.50966214197,547714.1456109583
116,12,"Index(['Estimated Page Views', 'Rank - Domain', 'Estimated Sales - Domain',
       'Number of technologies', 'Avg Total Users', 'Avg - Total Visits',
       'Avg - real visits', 'Followers', 'Organic Keywords', 'Organic Traffic',
       'Adwords Keywords', 'Adwords Traffic'],
      dtype='object')",Gradient Boosting,0.5040812659973684,140126.12540811746,539640.2510197844
117,12,"Index(['Estimated Page Views', 'Rank - Domain', 'Estimated Sales - Domain',
       'Number of technologies', 'Avg Total Users', 'Avg - Total Visits',
       'Avg - real visits', 'Followers', 'Organic Keywords', 'Organic Traffic',
       'Adwords Keywords', 'Adwords Traffic'],
      dtype='object')",AdaBoost,-0.1392922754615218,184656.45850040021,817930.974060595
118,12,"Index(['Estimated Page Views', 'Rank - Domain', 'Estimated Sales - Domain',
       'Number of technologies', 'Avg Total Users', 'Avg - Total Visits',
       'Avg - real visits', 'Followers', 'Organic Keywords', 'Organic Traffic',
       'Adwords Keywords', 'Adwords Traffic'],
      dtype='object')",K-Nearest Neighbors,0.3113893088932378,140128.33312527472,635895.8033905484
119,12,"Index(['Estimated Page Views', 'Rank - Domain', 'Estimated Sales - Domain',
       'Number of technologies', 'Avg Total Users', 'Avg - Total Visits',
       'Avg - real visits', 'Followers', 'Organic Keywords', 'Organic Traffic',
       'Adwords Keywords', 'Adwords Traffic'],
      dtype='object')",Support Vector Regressor,-0.01860776879097914,138857.87417591445,773397.1554031525
120,13,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic'],
      dtype='object')",Linear Regression,-0.17040201706416225,189981.24313849283,829023.0563569664
121,13,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic'],
      dtype='object')",Ridge Regression,-0.1704019407127655,189981.2308148358,829023.029316228
122,13,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic'],
      dtype='object')",Lasso Regression,-0.17066064926637647,189890.5726801746,829114.6489088795
123,13,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic'],
      dtype='object')",ElasticNet Regression,-0.17059207168306734,189879.25103416113,829090.3636851184
124,13,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic'],
      dtype='object')",Decision Tree,0.02027674967317561,173576.70669670327,758491.6176654419
125,13,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic'],
      dtype='object')",Random Forest,0.45254056590728864,140302.93057834727,566989.5444486574
126,13,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic'],
      dtype='object')",Gradient Boosting,0.4301925668587949,144190.23691251889,578446.4145189566
127,13,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic'],
      dtype='object')",AdaBoost,0.1979479867024062,153795.5398555752,686278.4235200249
128,13,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic'],
      dtype='object')",K-Nearest Neighbors,0.3113893088932378,140128.33312527472,635895.8033905484
129,13,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic'],
      dtype='object')",Support Vector Regressor,-0.01860774736852644,138857.9004218444,773397.1472704519
130,14,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers', 'Semrush Rank',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic'],
      dtype='object')",Linear Regression,-0.17060875066888537,189993.742317924,829096.2702419347
131,14,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers', 'Semrush Rank',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic'],
      dtype='object')",Ridge Regression,-0.1706086728112448,189993.72986022916,829096.2426701775
132,14,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers', 'Semrush Rank',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic'],
      dtype='object')",Lasso Regression,-0.17087737291907001,189903.61176527612,829191.392087904
133,14,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers', 'Semrush Rank',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic'],
      dtype='object')",ElasticNet Regression,-0.17080735695343763,189892.16470107652,829166.5997803167
134,14,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers', 'Semrush Rank',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic'],
      dtype='object')",Decision Tree,-0.2246278177426626,187809.3314153846,848010.3218680781
135,14,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers', 'Semrush Rank',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic'],
      dtype='object')",Random Forest,0.435594200830523,141037.4258260139,575698.1210305486
136,14,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers', 'Semrush Rank',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic'],
      dtype='object')",Gradient Boosting,0.4167576376864547,142232.6671675486,585225.9946861113
137,14,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers', 'Semrush Rank',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic'],
      dtype='object')",AdaBoost,0.1979479867024062,153795.5398555751,686278.4235200249
138,14,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers', 'Semrush Rank',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic'],
      dtype='object')",K-Nearest Neighbors,0.3211921606461595,127097.29948131868,631353.3699233896
139,14,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers', 'Semrush Rank',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic'],
      dtype='object')",Support Vector Regressor,-0.018609578080932554,138858.5092421823,773397.842271604
140,15,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers', 'Semrush Rank',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic', 'PLA keywords'],
      dtype='object')",Linear Regression,0.30489482875151763,176423.15531707092,638887.4218875773
141,15,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers', 'Semrush Rank',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic', 'PLA keywords'],
      dtype='object')",Ridge Regression,0.3048947747730858,176423.13550114093,638887.4466939964
142,15,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers', 'Semrush Rank',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic', 'PLA keywords'],
      dtype='object')",Lasso Regression,0.30491229968054745,176345.39132788338,638879.3928673619
143,15,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers', 'Semrush Rank',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic', 'PLA keywords'],
      dtype='object')",ElasticNet Regression,0.3048630384318143,176329.4566579791,638902.0313337586
144,15,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers', 'Semrush Rank',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic', 'PLA keywords'],
      dtype='object')",Decision Tree,-0.09420636915138214,174764.7846901099,801583.3680468405
145,15,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers', 'Semrush Rank',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic', 'PLA keywords'],
      dtype='object')",Random Forest,0.3921500371881471,142795.3499854521,597444.0984568795
146,15,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers', 'Semrush Rank',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic', 'PLA keywords'],
      dtype='object')",Gradient Boosting,0.2694753565609139,152397.2267975441,654962.618671033
147,15,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers', 'Semrush Rank',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic', 'PLA keywords'],
      dtype='object')",AdaBoost,0.1979479867024062,153795.53985557507,686278.4235200249
148,15,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers', 'Semrush Rank',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic', 'PLA keywords'],
      dtype='object')",K-Nearest Neighbors,0.3211921606461595,127097.29948131868,631353.3699233896
149,15,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - real visits', 'Followers', 'Semrush Rank',
       'Organic Keywords', 'Organic Traffic', 'Adwords Keywords',
       'Adwords Traffic', 'PLA keywords'],
      dtype='object')",Support Vector Regressor,-0.018609560895173516,138858.53248397989,773397.835747304
150,16,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - Average Bounce Rate', 'Avg - real visits',
       'Followers', 'Semrush Rank', 'Organic Keywords', 'Organic Traffic',
       'Adwords Keywords', 'Adwords Traffic', 'PLA keywords'],
      dtype='object')",Linear Regression,0.30565389069028814,176790.38216942703,638538.490811028
151,16,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - Average Bounce Rate', 'Avg - real visits',
       'Followers', 'Semrush Rank', 'Organic Keywords', 'Organic Traffic',
       'Adwords Keywords', 'Adwords Traffic', 'PLA keywords'],
      dtype='object')",Ridge Regression,0.30565072745343147,176783.3073995228,638539.9453062437
152,16,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - Average Bounce Rate', 'Avg - real visits',
       'Followers', 'Semrush Rank', 'Organic Keywords', 'Organic Traffic',
       'Adwords Keywords', 'Adwords Traffic', 'PLA keywords'],
      dtype='object')",Lasso Regression,0.3056702801967809,176712.53952416542,638530.9546612909
153,16,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - Average Bounce Rate', 'Avg - real visits',
       'Followers', 'Semrush Rank', 'Organic Keywords', 'Organic Traffic',
       'Adwords Keywords', 'Adwords Traffic', 'PLA keywords'],
      dtype='object')",ElasticNet Regression,0.30499039118033766,176305.10613039482,638843.5035462618
154,16,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - Average Bounce Rate', 'Avg - real visits',
       'Followers', 'Semrush Rank', 'Organic Keywords', 'Organic Traffic',
       'Adwords Keywords', 'Adwords Traffic', 'PLA keywords'],
      dtype='object')",Decision Tree,-0.2740587135153525,185611.99704835165,864955.5695804243
155,16,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - Average Bounce Rate', 'Avg - real visits',
       'Followers', 'Semrush Rank', 'Organic Keywords', 'Organic Traffic',
       'Adwords Keywords', 'Adwords Traffic', 'PLA keywords'],
      dtype='object')",Random Forest,0.39028529805872214,142120.50517232617,598359.8049083983
156,16,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - Average Bounce Rate', 'Avg - real visits',
       'Followers', 'Semrush Rank', 'Organic Keywords', 'Organic Traffic',
       'Adwords Keywords', 'Adwords Traffic', 'PLA keywords'],
      dtype='object')",Gradient Boosting,0.16488110854440707,154953.69948112074,700282.4336389577
157,16,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - Average Bounce Rate', 'Avg - real visits',
       'Followers', 'Semrush Rank', 'Organic Keywords', 'Organic Traffic',
       'Adwords Keywords', 'Adwords Traffic', 'PLA keywords'],
      dtype='object')",AdaBoost,0.1979479867024061,153795.53985557507,686278.423520025
158,16,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - Average Bounce Rate', 'Avg - real visits',
       'Followers', 'Semrush Rank', 'Organic Keywords', 'Organic Traffic',
       'Adwords Keywords', 'Adwords Traffic', 'PLA keywords'],
      dtype='object')",K-Nearest Neighbors,0.3211941165906499,127092.5548967033,631352.4603191074
159,16,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - Average Bounce Rate', 'Avg - real visits',
       'Followers', 'Semrush Rank', 'Organic Keywords', 'Organic Traffic',
       'Adwords Keywords', 'Adwords Traffic', 'PLA keywords'],
      dtype='object')",Support Vector Regressor,-0.018609546400634613,138858.5528563906,773397.8302446828
160,17,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - Average Bounce Rate', 'Avg - real visits',
       'Followers', 'Posts', 'Semrush Rank', 'Organic Keywords',
       'Organic Traffic', 'Adwords Keywords', 'Adwords Traffic',
       'PLA keywords'],
      dtype='object')",Linear Regression,0.30904904445039516,174342.67824317585,636975.4425162842
161,17,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - Average Bounce Rate', 'Avg - real visits',
       'Followers', 'Posts', 'Semrush Rank', 'Organic Keywords',
       'Organic Traffic', 'Adwords Keywords', 'Adwords Traffic',
       'PLA keywords'],
      dtype='object')",Ridge Regression,0.30904477057163593,174342.87187943392,636977.412519786
162,17,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - Average Bounce Rate', 'Avg - real visits',
       'Followers', 'Posts', 'Semrush Rank', 'Organic Keywords',
       'Organic Traffic', 'Adwords Keywords', 'Adwords Traffic',
       'PLA keywords'],
      dtype='object')",Lasso Regression,0.3090688529050091,174264.43232993127,636966.3119191888
163,17,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - Average Bounce Rate', 'Avg - real visits',
       'Followers', 'Posts', 'Semrush Rank', 'Organic Keywords',
       'Organic Traffic', 'Adwords Keywords', 'Adwords Traffic',
       'PLA keywords'],
      dtype='object')",ElasticNet Regression,0.3083227466630526,174578.54137867715,637310.1351159922
164,17,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - Average Bounce Rate', 'Avg - real visits',
       'Followers', 'Posts', 'Semrush Rank', 'Organic Keywords',
       'Organic Traffic', 'Adwords Keywords', 'Adwords Traffic',
       'PLA keywords'],
      dtype='object')",Decision Tree,-0.3941842829693605,187934.85269670328,904813.7038114127
165,17,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - Average Bounce Rate', 'Avg - real visits',
       'Followers', 'Posts', 'Semrush Rank', 'Organic Keywords',
       'Organic Traffic', 'Adwords Keywords', 'Adwords Traffic',
       'PLA keywords'],
      dtype='object')",Random Forest,0.3936042936430211,141464.2983262878,596728.9900611633
166,17,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - Average Bounce Rate', 'Avg - real visits',
       'Followers', 'Posts', 'Semrush Rank', 'Organic Keywords',
       'Organic Traffic', 'Adwords Keywords', 'Adwords Traffic',
       'PLA keywords'],
      dtype='object')",Gradient Boosting,0.24584591551961954,149249.62798940323,665470.9809841387
167,17,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - Average Bounce Rate', 'Avg - real visits',
       'Followers', 'Posts', 'Semrush Rank', 'Organic Keywords',
       'Organic Traffic', 'Adwords Keywords', 'Adwords Traffic',
       'PLA keywords'],
      dtype='object')",AdaBoost,0.19794798670240632,153795.53985557516,686278.4235200249
168,17,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - Average Bounce Rate', 'Avg - real visits',
       'Followers', 'Posts', 'Semrush Rank', 'Organic Keywords',
       'Organic Traffic', 'Adwords Keywords', 'Adwords Traffic',
       'PLA keywords'],
      dtype='object')",K-Nearest Neighbors,0.3211693283995679,127112.04048791209,631363.9878728136
169,17,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - Average Bounce Rate', 'Avg - real visits',
       'Followers', 'Posts', 'Semrush Rank', 'Organic Keywords',
       'Organic Traffic', 'Adwords Keywords', 'Adwords Traffic',
       'PLA keywords'],
      dtype='object')",Support Vector Regressor,-0.0186095345034627,138858.57065752897,773397.8257281107
170,18,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - Average Bounce Rate',
       'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts',
       'Semrush Rank', 'Organic Keywords', 'Organic Traffic',
       'Adwords Keywords', 'Adwords Traffic', 'PLA keywords'],
      dtype='object')",Linear Regression,0.3099082617381588,173863.69504260307,636579.2707189467
171,18,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - Average Bounce Rate',
       'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts',
       'Semrush Rank', 'Organic Keywords', 'Organic Traffic',
       'Adwords Keywords', 'Adwords Traffic', 'PLA keywords'],
      dtype='object')",Ridge Regression,0.30990123958263094,173858.2053911775,636582.5095254888
172,18,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - Average Bounce Rate',
       'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts',
       'Semrush Rank', 'Organic Keywords', 'Organic Traffic',
       'Adwords Keywords', 'Adwords Traffic', 'PLA keywords'],
      dtype='object')",Lasso Regression,0.30992477927410167,173788.13337241788,636571.6523232171
173,18,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - Average Bounce Rate',
       'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts',
       'Semrush Rank', 'Organic Keywords', 'Organic Traffic',
       'Adwords Keywords', 'Adwords Traffic', 'PLA keywords'],
      dtype='object')",ElasticNet Regression,0.3088288928557197,174225.2381186222,637076.9113614593
174,18,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - Average Bounce Rate',
       'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts',
       'Semrush Rank', 'Organic Keywords', 'Organic Traffic',
       'Adwords Keywords', 'Adwords Traffic', 'PLA keywords'],
      dtype='object')",Decision Tree,-0.32271769586742316,181784.74944395604,881318.0404950851
175,18,"Index(['Employee Count', 'Estimated Page Views', 'Rank - Domain',
       'Estimated Sales - Domain', 'Number of technologies', 'Avg Total Users',
       'Avg - Total Visits', 'Avg - Average Bounce Rate',
       'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts',
       'Semrush Rank', 'Organic Keywords', 'Organic Traffic',
       'Adwords Keywords', 'Adwords Traffic', 'PLA keywords'],
      dtype='object')",Random Forest,0.4257158455700947,140492.69879405614,580714.2658055316
